Precio,Expensas,Calle,Altura,Piso,Link,Ambientes,Dormitorios,Baños,Toilettes,Estado,Antiguedad,Disposicion,Orientacion,Tipo_Balcon,Apto_Profesional,Apto_Credito,Tipo_Unidad,Tipo_Operacion,Sup_Cubierta_m2,Sup_Total_m2,Sup_Descubierta_m2,Precio_Ficha,Expensas_Ficha,Cant_Pisos_Edificio,Deptos_Por_Piso,Antiguedad_Edificio,Estado_Edificio,Aire_acondicionado_individual,Electricidad,Losa_radiante,Gas_natural,Agua_corriente,Agua_caliente,Balcón,Terraza,Jardín,Patio,Baulera,Cochera,Muebles_de_cocina,Lavarropas,Lavavajillas,Conexión_para_lavarropas,Permite_Mascotas,Apto_Crédito,Ascensor,Pileta,Piscina,Parrilla,SUM,Gimnasio,Sauna,Laundry,Seguridad_24hs,Vigilancia,Acceso_para_personas_con_movilidad_reducida,Pavimento,ABL,Smart_Amenities,Smart_Losa_Central,Smart_Luminoso,Smart_Balcon_Aterrazado
112.000 USD,N/A,SAN PEDRO,7100,N/A,https://www.remax.com.ar/listings/venta-casa-con-cochera-mataderos,5,4,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,236,285,49,N/A,N/A,N/A,N/A,N/A,N/A,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
197.000 USD,N/A,BARADERO,200,N/A,https://www.remax.com.ar/listings/venta-casa-a-refaccionar-floresta,7,6,3,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,358,358,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
105.000 USD,N/A,PASAJE ESQUINA,2400,N/A,https://www.remax.com.ar/listings/venta-ph-3-amb-con-terraza-propia-villa-real,3,2,1,N/A,N/A,N/A,frente,N/A,N/A,N/A,sí,N/A,N/A,49.07,113.96,3.2,N/A,N/A,N/A,N/A,N/A,N/A,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
410.000 USD,600.000 ARS,SANTA FE AV.,1200,N/A,https://www.remax.com.ar/listings/semipiso-recoleta-4-amb-176m-categoria-y-estilo,4,3,3,N/A,N/A,N/A,contrafrente,este,N/A,N/A,sí,N/A,N/A,170,176,N/A,N/A,600.000,N/A,N/A,N/A,N/A,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
95.000 USD,200.000 ARS,GUARDIA VIEJA,3900,N/A,https://www.remax.com.ar/listings/venta-moniambiente-balcon-terraza-almagro-a-estren,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28,45,17,N/A,200.000,N/A,N/A,N/A,N/A,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1
167.500 USD,200.000 ARS,GUARDIA VIEJA,3900,N/A,https://www.remax.com.ar/listings/venta-dpto-2-amb-con-terraza-almagro-a-estrenar,2,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,54,79,25,N/A,200.000,N/A,N/A,N/A,N/A,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1
139.000 USD,200.000 ARS,GUARDIA VIEJA,3900,N/A,https://www.remax.com.ar/listings/venta-dpto-2-amb-con-balcon-a-estrenar-almagro,2,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,56,60,4,N/A,200.000,N/A,N/A,N/A,N/A,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
98.000 USD,300.000 ARS,DE MAYO AV.,900,N/A,https://www.remax.com.ar/listings/venta-oficina-en-esquina-san-nicolas,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,106,106,N/A,N/A,300.000,N/A,N/A,N/A,N/A,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
78.000 USD,122.000 ARS,Av. Juan B Justo,9100,N/A,https://www.remax.com.ar/listings/venta-dto-de-3-amb-velez-sarsfield-apto-credito,3,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sí,N/A,N/A,54.4,62.4,8,N/A,122.000,N/A,N/A,N/A,N/A,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
155.000 USD,250.000 ARS,AMENABAR,1900,N/A,https://www.remax.com.ar/listings/departamento-3-amb-en-venta-en-belgrano-con-balcon,3,2,1,1,N/A,N/A,frente,N/A,N/A,N/A,N/A,N/A,N/A,69.5,72.46,2.96,N/A,250.000,N/A,N/A,N/A,N/A,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
